monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,Cooking Allowed,Sauna,Gymnasium,Multipurpose hall,Minimart,Internet,Squash Court,Jogging Track,Club house,Washing Machine,Security,Barbeque area,Lift,Air-Cond,Playground,Swimming Pool,Tennis Court,Near KTM/LRT,location_bin
1900.0,Jalan Ipoh,Condominium,3,2.0,2.0,1193,1,Kuala Lumpur,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,5
2100.0,Ampang,Service Residence,3,2.0,2.0,1200,2,Kuala Lumpur,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,3
1399.0,Setapak,Service Residence,3,1.0,2.0,926,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1300.0,Cheras,Apartment,3,1.0,3.0,935,0,Kuala Lumpur,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3
1450.0,Kuchai Lama,Condominium,3,1.0,2.0,1100,1,Kuala Lumpur,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4
1500.0,Desa Pandan,Apartment,3,1.0,2.0,900,1,Kuala Lumpur,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,5
1000.0,Setapak,Flat,3,0.0,2.0,650,0,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
1600.0,Kepong,Condominium,3,1.0,2.0,1070,1,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
2200.0,Sentul,Service Residence,3,1.0,2.0,850,2,Kuala Lumpur,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,4
2000.0,Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560,2,Kuala Lumpur,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6
1900.0,KLCC,Condominium,2,1.0,2.0,705,2,Kuala Lumpur,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,6
2200.0,Kepong,Apartment,2,1.0,2.0,866,2,Kuala Lumpur,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3
2000.0,KL City,Service Residence,1,1.0,1.0,600,2,Kuala Lumpur,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,6
1000.0,Kepong,Apartment,3,1.0,2.0,955,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3
850.0,Setapak,Apartment,3,1.0,1.0,650,0,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4
2500.0,Bangsar,Condominium,3,1.0,2.0,1000,2,Kuala Lumpur,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,6
